lcmpt-label,lcmpt-id,lcmpt-uri,broader-label,skos:broader,skos:note
accordion,mp2013015001,http://id.loc.gov/authorities/performanceMediums/mp2013015001,free reed instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015271,
accordion band,mp2013015002,http://id.loc.gov/authorities/performanceMediums/mp2013015002,instrumental ensemble,http://id.loc.gov/authorities/performanceMediums/mp2013015812,"An ensemble consisting of two or more accordions, with or without percussion and other instruments."
acoustic bass guitar,mp2013015003,http://id.loc.gov/authorities/performanceMediums/mp2013015003,guitar,http://id.loc.gov/authorities/performanceMediums/mp2013015306,
actor,mp2013015004,http://id.loc.gov/authorities/performanceMediums/mp2013015004,performer,http://id.loc.gov/authorities/performanceMediums/mp2013015545,"An actor in a non-singing role who is required for the performance of a musical composition with dramatic elements. For a performer who uses a speaking voice, rather than a singing voice, in a non-dramatic work see [speaker.]"
aeolian harp,mp2013015005,http://id.loc.gov/authorities/performanceMediums/mp2013015005,zither,http://id.loc.gov/authorities/performanceMediums/mp2013015824,
aerophone,mp2013015006,http://id.loc.gov/authorities/performanceMediums/mp2013015006,instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015354,A musical instrument that creates sound through the vibration of air without the use of strings or membranes.
agogo,mp2014015007,http://id.loc.gov/authorities/performanceMediums/mp2014015007,bell,http://id.loc.gov/authorities/performanceMediums/mp2013015079,A conical bell or bells mounted on a sprung steel hoop.
ajaeng,mp2013015007,http://id.loc.gov/authorities/performanceMediums/mp2013015007,zither,http://id.loc.gov/authorities/performanceMediums/mp2013015824,
alboka,mp2013015008,http://id.loc.gov/authorities/performanceMediums/mp2013015008,double reed instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015217,A Basque hornpipe with two pipes played simultaneously.
algōjā,mp2013015009,http://id.loc.gov/authorities/performanceMediums/mp2013015009,duct flute,http://id.loc.gov/authorities/performanceMediums/mp2013015223,"A pair of end-blown flutes played simultaneously, widespread in the Indian subcontinent."
alō̜,mp2013015608,http://id.loc.gov/authorities/performanceMediums/mp2013015608,bowed lute,http://id.loc.gov/authorities/performanceMediums/mp2013015097,A Thai two-string spike fiddle with a separate bow and coconut shell resonator.
alphorn,mp2013015010,http://id.loc.gov/authorities/performanceMediums/mp2013015010,natural horn,http://id.loc.gov/authorities/performanceMediums/mp2013015496,
alto clarinet,mp2013015011,http://id.loc.gov/authorities/performanceMediums/mp2013015011,clarinet,http://id.loc.gov/authorities/performanceMediums/mp2013015154,An alto member of the clarinet family that is associated with Western art music and is normally pitched in E♭.
alto flute,mp2013015012,http://id.loc.gov/authorities/performanceMediums/mp2013015012,flute,http://id.loc.gov/authorities/performanceMediums/mp2013015268,"A flute in G, a fourth below the concert flute."
alto horn,mp2013015013,http://id.loc.gov/authorities/performanceMediums/mp2013015013,saxhorn,http://id.loc.gov/authorities/performanceMediums/mp2013015623,A valved brass instrument of alto pitch that is similar to a small euphonium in shape.
alto recorder,mp2013015014,http://id.loc.gov/authorities/performanceMediums/mp2013015014,recorder,http://id.loc.gov/authorities/performanceMediums/mp2013015597,
alto saxophone,mp2013015015,http://id.loc.gov/authorities/performanceMediums/mp2013015015,saxophone,http://id.loc.gov/authorities/performanceMediums/mp2013015625,
alto trombone,mp2013015016,http://id.loc.gov/authorities/performanceMediums/mp2013015016,trombone,http://id.loc.gov/authorities/performanceMediums/mp2013015747,
alto voice,mp2013015017,http://id.loc.gov/authorities/performanceMediums/mp2013015017,low voice,http://id.loc.gov/authorities/performanceMediums/mp2013015429,
amadinda,mp2013015018,http://id.loc.gov/authorities/performanceMediums/mp2013015018,xylophone,http://id.loc.gov/authorities/performanceMediums/mp2013015810,A log xylophone of the Ganda people of Uganda.
amplified palette,mp2017015016,http://id.loc.gov/authorities/performanceMediums/mp2017015016,"electronic instrument,friction idiophone,struck idiophone","http://id.loc.gov/authorities/performanceMediums/mp2013015244,http://id.loc.gov/authorities/performanceMediums/mp2013015273,http://id.loc.gov/authorities/performanceMediums/mp2013015682",
angklung (rattle),mp2013015019,http://id.loc.gov/authorities/performanceMediums/mp2013015019,shaken idiophone,http://id.loc.gov/authorities/performanceMediums/mp2019015021,"A tuned bamboo sliding rattle of Indonesia and Southeast Asia, or a set of such rattles."
angklung (xylophone),mp2013015020,http://id.loc.gov/authorities/performanceMediums/mp2013015020,xylophone,http://id.loc.gov/authorities/performanceMediums/mp2013015810,An East Javanese xylophone consisting of bamboo tubes in a frame.
Appalachian dulcimer,mp2013015022,http://id.loc.gov/authorities/performanceMediums/mp2013015022,"plucked string instrument,zither","http://id.loc.gov/authorities/performanceMediums/mp2013015565,http://id.loc.gov/authorities/performanceMediums/mp2013015824",
arará,mp2013015023,http://id.loc.gov/authorities/performanceMediums/mp2013015023,drum,http://id.loc.gov/authorities/performanceMediums/mp2013015218,A drum constructed by the Arará people of Cuba.
archiphone,mp2013015024,http://id.loc.gov/authorities/performanceMediums/mp2013015024,electronic organ,http://id.loc.gov/authorities/performanceMediums/mp2013015245,A microtonal electronic organ first built in 1970 in the Netherlands.
archlute,mp2013015025,http://id.loc.gov/authorities/performanceMediums/mp2013015025,lute,http://id.loc.gov/authorities/performanceMediums/mp2013015433,"An extended-neck lute with two peg boxes that was principally used in the Baroque period, on which the upper courses are tuned like a Renaissance lute and the diapasons are tuned diatonically."
arcicembalo,mp2013015026,http://id.loc.gov/authorities/performanceMediums/mp2013015026,harpsichord,http://id.loc.gov/authorities/performanceMediums/mp2013015433,"A harpsichord equipped with many divided keys, or a second manual, to allow more precise tuning of diatonic, chromatic, and enharmonic notes."
armpit squeezing,mp2013015027,http://id.loc.gov/authorities/performanceMediums/mp2013015027,"aerophone,body percussion","http://id.loc.gov/authorities/performanceMediums/mp2013015006,http://id.loc.gov/authorities/performanceMediums/mp2013015090",A performer who traps air in his or her armpit and creates sound through a squeezing motion.
arpeggione,mp2013015028,http://id.loc.gov/authorities/performanceMediums/mp2013015028,bowed lute,http://id.loc.gov/authorities/performanceMediums/mp2013015097,"A fretted bowed string instrument of the 19th century, tuned like a guitar."
atabaque,mp2013015029,http://id.loc.gov/authorities/performanceMediums/mp2013015029,drum,http://id.loc.gov/authorities/performanceMediums/mp2013015218,"A large, narrow, single-headed conical drum from Brazil."
atenteben,mp2013015031,http://id.loc.gov/authorities/performanceMediums/mp2013015031,duct flute,http://id.loc.gov/authorities/performanceMediums/mp2013015223,An end-blown bamboo flute from Ghana.
audeharp,mp2013015032,http://id.loc.gov/authorities/performanceMediums/mp2013015032,harp,http://id.loc.gov/authorities/performanceMediums/mp2013015325,A wooden harp with sixty parallel strings in two planes that intersect near the middle.
audience,mp2013015033,http://id.loc.gov/authorities/performanceMediums/mp2013015033,"ensemble,performer","http://id.loc.gov/authorities/performanceMediums/mp2013015252,http://id.loc.gov/authorities/performanceMediums/mp2013015545","One or more participants in the performance of a musical work, other than the performer(s) on stage or otherwise presenting the work."
aulos,mp2013015034,http://id.loc.gov/authorities/performanceMediums/mp2013015034,double reed instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015217,An ancient Greek reed instrument typically played in pairs by one player.
autoharp,mp2013015035,http://id.loc.gov/authorities/performanceMediums/mp2013015035,"plucked string instrument,zither","http://id.loc.gov/authorities/performanceMediums/mp2013015565,http://id.loc.gov/authorities/performanceMediums/mp2013015824",
babadok,mp2013015036,http://id.loc.gov/authorities/performanceMediums/mp2013015036,drum,http://id.loc.gov/authorities/performanceMediums/mp2013015218,A small conical drum played by women in Timor-Leste.
baby rattle,mp2013015037,http://id.loc.gov/authorities/performanceMediums/mp2013015037,"rattle,toy instrument","http://id.loc.gov/authorities/performanceMediums/mp2013015593,http://id.loc.gov/authorities/performanceMediums/mp2013015739","A toy rattle usually used to entertain infants, but sometimes used as a musical instrument."
bağlama,mp2013015038,http://id.loc.gov/authorities/performanceMediums/mp2013015038,saz,http://id.loc.gov/authorities/performanceMediums/mp2013015626,A Turkish long-necked lute.
bagpipe,mp2013015039,http://id.loc.gov/authorities/performanceMediums/mp2013015039,double reed instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015217,
bajo sexto,mp2013015041,http://id.loc.gov/authorities/performanceMediums/mp2013015041,guitar,http://id.loc.gov/authorities/performanceMediums/mp2013015306,A large 12-string Mexican guitar.
bālabān (double reed instrument),mp2013015042,http://id.loc.gov/authorities/performanceMediums/mp2013015042,double reed instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015217,A traditional cylindrical oboe of the Caucasas.
bālabān (single reed instrument),mp2013015043,http://id.loc.gov/authorities/performanceMediums/mp2013015043,single reed instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015648,A single reed instrument of the Uzbek and Tajik peoples of Central Asia.
balalaika,mp2013015044,http://id.loc.gov/authorities/performanceMediums/mp2013015044,plucked lute,http://id.loc.gov/authorities/performanceMediums/mp2013015320,A Russian folk stringed instrument with a long neck and triangular body.
balalaika ensemble,mp2013015846,http://id.loc.gov/authorities/performanceMediums/mp2013015846,plucked instrument ensemble,http://id.loc.gov/authorities/performanceMediums/mp2013015564,An ensemble consisting of two or more balalaikas.
balalaika orchestra,mp2013015832,http://id.loc.gov/authorities/performanceMediums/mp2013015832,instrumental ensemble,http://id.loc.gov/authorities/performanceMediums/mp2013015812,"An ensemble consisting largely or wholly of balalaikas and domras of different sizes, usually including other Russian or Ukrainian folk instruments, percussion, woodwinds, and one or more bayans."
balloon,mp2013015045,http://id.loc.gov/authorities/performanceMediums/mp2013015045,"aerophone,percussion instrument","http://id.loc.gov/authorities/performanceMediums/mp2013015006,http://id.loc.gov/authorities/performanceMediums/mp2013015544",
balo,mp2013015046,http://id.loc.gov/authorities/performanceMediums/mp2013015046,mallet instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015444,"A West African gourd-resonated frame xylophone."
Baltic psaltery,mp2013015373,http://id.loc.gov/authorities/performanceMediums/mp2013015373,psaltery,http://id.loc.gov/authorities/performanceMediums/mp2013015578,
bamboo marimba,mp2016015018,http://id.loc.gov/authorities/performanceMediums/mp2016015018,mallet instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015444,
bambuso sonoro,mp2013015047,http://id.loc.gov/authorities/performanceMediums/mp2013015047,organ,http://id.loc.gov/authorities/performanceMediums/mp2013015519,"An experimental bamboo organ designed by artist Hans van Koolwijk."
band,mp2013015048,http://id.loc.gov/authorities/performanceMediums/mp2013015048,instrumental ensemble,http://id.loc.gov/authorities/performanceMediums/mp2013015812,"A large ensemble consisting primarily of woodwinds, brass, and percussion. For an ensemble consisting of two or more mixed woodwind or brass instruments, see [wind ensemble.] For an ensemble consisting of brass or woodwinds only, see [brass ensemble] or [woodwind ensemble.]"
bandolín,mp2014015026,http://id.loc.gov/authorities/performanceMediums/mp2014015026,plucked lute,http://id.loc.gov/authorities/performanceMediums/mp2013015320,A 15-stringed instrument from Ecuador that derives from the bandurria and/or bandola
bandoneon,mp2013015049,http://id.loc.gov/authorities/performanceMediums/mp2013015049,button-key accordion,http://id.loc.gov/authorities/performanceMediums/mp2013015108,A plucked wire-strung bass instrument invented in England in the 16th century.
bandora,mp2013015050,http://id.loc.gov/authorities/performanceMediums/mp2013015050,plucked lute,http://id.loc.gov/authorities/performanceMediums/mp2013015320,A plucked wire-strung bass instrument invented in England in the 16th century.
bandura,mp2013015051,http://id.loc.gov/authorities/performanceMediums/mp2013015051,plucked string instrument,http://id.loc.gov/authorities/performanceMediums/mp2013015565,A Ukrainian plucked-string instrument which combines elements of lute and zither construction.
bandurria,mp2013015052,http://id.loc.gov/authorities/performanceMediums/mp2013015052,plucked lute,http://id.loc.gov/authorities/performanceMediums/mp2013015320,"A plucked string instrument from Spain, Latin America, and the Philippines."
bangdi,mp2016015004,http://id.loc.gov/authorities/performanceMediums/mp2016015004,di zi,http://id.loc.gov/authorities/performanceMediums/mp2013015207,
banjo,mp2013015053,http://id.loc.gov/authorities/performanceMediums/mp2013015053,plucked lute,http://id.loc.gov/authorities/performanceMediums/mp2013015320,
banjo ukulele,mp2013015054,http://id.loc.gov/authorities/performanceMediums/mp2013015054,plucked lute,http://id.loc.gov/authorities/performanceMediums/mp2013015320,"An instrument combining a banjo body and ukulele tuning."
bānsurī,mp2013015055,http://id.loc.gov/authorities/performanceMediums/mp2013015055,ductless flute,http://id.loc.gov/authorities/performanceMediums/mp2013015224,"One of various types of South Asian flutes."
baritone horn,mp2013015056,http://id.loc.gov/authorities/performanceMediums/mp2013015056,saxhorn,http://id.loc.gov/authorities/performanceMediums/mp2013015623,"The baritone instrument of the saxhorn family, pitched in B♭. For the tenor of the tuba family see [euphonium]"
