lcmpt-label,label-type,lcmpt-id,lcmpt-uri,label@en,inScheme
A clarinet (soprano),altLabel,mp2013015154,http://id.loc.gov/authorities/performanceMediums/mp2013015154,"""A clarinet (soprano)""@en .",lcmpt:
a-jaeng,altLabel,mp2013015007,http://id.loc.gov/authorities/performanceMediums/mp2013015007,"""a-jaeng""@en .",lcmpt:
accordeon,altLabel,mp2013015001,http://id.loc.gov/authorities/performanceMediums/mp2013015001,"""accordeon""@en .",lcmpt:
accordion,prefLabel,mp2013015001,http://id.loc.gov/authorities/performanceMediums/mp2013015001,"""accordion""@en .",lcmpt:
accordion band,prefLabel,mp2013015002,http://id.loc.gov/authorities/performanceMediums/mp2013015002,"""accordion band""@en .",lcmpt:
accordion orchestra,altLabel,mp2013015002,http://id.loc.gov/authorities/performanceMediums/mp2013015002,"""accordion orchestra""@en .",lcmpt:
acoustic bass guitar,prefLabel,mp2013015003,http://id.loc.gov/authorities/performanceMediums/mp2013015003,"""acoustic bass guitar""@en .",lcmpt:
acoustic guitar,altLabel,mp2013015306,http://id.loc.gov/authorities/performanceMediums/mp2013015306,"""acoustic guitar""@en .",lcmpt:
"acoustic guitar, electric",altLabel,mp2013015239,http://id.loc.gov/authorities/performanceMediums/mp2013015239,"""acoustic guitar, electric""@en .",lcmpt:
actor,prefLabel,mp2013015004,http://id.loc.gov/authorities/performanceMediums/mp2013015004,"""actor""@en .",lcmpt:
adufo,altLabel,mp2013015705,http://id.loc.gov/authorities/performanceMediums/mp2013015705,"""adufo""@en .",lcmpt:
aenas,altLabel,mp2013015415,http://id.loc.gov/authorities/performanceMediums/mp2013015415,"""aenas""@en .",lcmpt:
aeolian harp,prefLabel,mp2013015005,http://id.loc.gov/authorities/performanceMediums/mp2013015005,"""aeolian harp""@en .",lcmpt:
aeoliphone,altLabel,mp2013015804,http://id.loc.gov/authorities/performanceMediums/mp2013015804,"""aeoliphone""@en .",lcmpt:
aerophone,prefLabel,mp2013015006,http://id.loc.gov/authorities/performanceMediums/mp2013015006,"""aerophone""@en .",lcmpt:
aerostat,altLabel,mp2013015045,http://id.loc.gov/authorities/performanceMediums/mp2013015045,"""aerostat""@en .",lcmpt:
aetherphon,altLabel,mp2013015730,http://id.loc.gov/authorities/performanceMediums/mp2013015730,"""aetherphon""@en .",lcmpt:
Afghan lute,altLabel,mp2013015586,http://id.loc.gov/authorities/performanceMediums/mp2013015586,"""Afghan lute""@en .",lcmpt:
African hand piano,altLabel,mp2013015455,http://id.loc.gov/authorities/performanceMediums/mp2013015455,"""African hand piano""@en .",lcmpt:
agbe,altLabel,mp2013015109,http://id.loc.gov/authorities/performanceMediums/mp2013015109,"""agbe""@en .",lcmpt:
aggūé,altLabel,mp2013015109,http://id.loc.gov/authorities/performanceMediums/mp2013015109,"""aggūé""@en .",lcmpt:
agogo,prefLabel,mp2014015007,http://id.loc.gov/authorities/performanceMediums/mp2014015007,"""agogo""@en .",lcmpt:
agogo bells,altLabel,mp2014015007,http://id.loc.gov/authorities/performanceMediums/mp2014015007,"""agogo bells""@en .",lcmpt:
ajaeng,prefLabel,mp2013015007,http://id.loc.gov/authorities/performanceMediums/mp2013015007,"""ajaeng""@en .",lcmpt:
ala,altLabel,mp2013015578,http://id.loc.gov/authorities/performanceMediums/mp2013015578,"""ala""@en .",lcmpt:
albogón,altLabel,mp2013015008,http://id.loc.gov/authorities/performanceMediums/mp2013015008,"""albogón""@en .",lcmpt:
albogue,altLabel,mp2013015008,http://id.loc.gov/authorities/performanceMediums/mp2013015008,"""albogue""@en .",lcmpt:
alboka,prefLabel,mp2013015008,http://id.loc.gov/authorities/performanceMediums/mp2013015008,"""alboka""@en .",lcmpt:
alghōzā,altLabel,mp2013015009,http://id.loc.gov/authorities/performanceMediums/mp2013015009,"""alghōzā""@en .",lcmpt:
alg̲hozah,altLabel,mp2013015009,http://id.loc.gov/authorities/performanceMediums/mp2013015009,"""alg̲hozah""@en .",lcmpt:
algōjā,prefLabel,mp2013015009,http://id.loc.gov/authorities/performanceMediums/mp2013015009,"""algōjā""@en .",lcmpt:
algōzā,altLabel,mp2013015009,http://id.loc.gov/authorities/performanceMediums/mp2013015009,"""algōzā""@en .",lcmpt:
Almglocke,altLabel,mp2013015187,http://id.loc.gov/authorities/performanceMediums/mp2013015187,"""Almglocke""@en .",lcmpt:
alō̜,prefLabel,mp2013015608,http://id.loc.gov/authorities/performanceMediums/mp2013015608,"""salō̜""@en .",lcmpt:
alpenhorn,altLabel,mp2013015010,http://id.loc.gov/authorities/performanceMediums/mp2013015010,"""alpenhorn""@en .",lcmpt:
alphorn,prefLabel,mp2013015010,http://id.loc.gov/authorities/performanceMediums/mp2013015010,"""alphorn""@en .",lcmpt:
alpine horn,altLabel,mp2013015010,http://id.loc.gov/authorities/performanceMediums/mp2013015010,"""alpine horn""@en .",lcmpt:
alto (singer),altLabel,mp2013015017,http://id.loc.gov/authorities/performanceMediums/mp2013015017,"""alto (singer)""@en .",lcmpt:
alto clarinet,prefLabel,mp2013015011,http://id.loc.gov/authorities/performanceMediums/mp2013015011,"""alto clarinet""@en .",lcmpt:
alto flute,prefLabel,mp2013015012,http://id.loc.gov/authorities/performanceMediums/mp2013015012,"""alto flute""@en .",lcmpt:
alto horn,prefLabel,mp2013015013,http://id.loc.gov/authorities/performanceMediums/mp2013015013,"""alto horn""@en .",lcmpt:
alto recorder,prefLabel,mp2013015014,http://id.loc.gov/authorities/performanceMediums/mp2013015014,"""alto recorder""@en .",lcmpt:
alto saxophone,prefLabel,mp2013015015,http://id.loc.gov/authorities/performanceMediums/mp2013015015,"""alto saxophone""@en .",lcmpt:
alto trombone,prefLabel,mp2013015016,http://id.loc.gov/authorities/performanceMediums/mp2013015016,"""alto trombone""@en .",lcmpt:
