LCSH-label,LCSH-URI,LCSH-broader-label,LCSH-broader-URI,spatial
Bull-roarer,http://id.loc.gov/authorities/subjects/sh97006054,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Free reed instruments,http://id.loc.gov/authorities/subjects/sh2002002646,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Glass as a musical instrument,http://id.loc.gov/authorities/subjects/sh2002007240,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Glass harmonica,http://id.loc.gov/authorities/subjects/sh85055151,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Hurdy-gurdy,http://id.loc.gov/authorities/subjects/sh85063168,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Jew's harp,http://id.loc.gov/authorities/subjects/sh85070508,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Keyboard instruments,http://id.loc.gov/authorities/subjects/sh85072117,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Liquimofono,http://id.loc.gov/authorities/subjects/sh85077412,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Mechanical musical instruments,http://id.loc.gov/authorities/subjects/sh85089003,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Musical saw,http://id.loc.gov/authorities/subjects/sh85089021,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Percussion instruments,http://id.loc.gov/authorities/subjects/sh85099761,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Pitchpipe,http://id.loc.gov/authorities/subjects/sh85102498,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Reeds (Music),http://id.loc.gov/authorities/subjects/sh85112170,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Stringed instruments,http://id.loc.gov/authorities/subjects/sh85129118,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Toy instruments,http://id.loc.gov/authorities/subjects/sh2007000968,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Verrophone,http://id.loc.gov/authorities/subjects/sh2007000968,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Wind instruments,http://id.loc.gov/authorities/subjects/sh85146863,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Wind machine (Musical instrument),http://id.loc.gov/authorities/subjects/sh93001623,Musical instruments,http://id.loc.gov/authorities/subjects/sh85088961,
Amplified palette (Musical instrument),http://id.loc.gov/authorities/subjects/sh2017003538,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Drum machine,http://id.loc.gov/authorities/subjects/sh91000627,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Electric cello,http://id.loc.gov/authorities/subjects/sh2005006932,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Electric guitar,http://id.loc.gov/authorities/subjects/sh86008003,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Electric violin,http://id.loc.gov/authorities/subjects/sh2004009814,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Electronic harpsichord,http://id.loc.gov/authorities/subjects/sh85042335,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Electronic organ,http://id.loc.gov/authorities/subjects/sh85042356,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Electronic piano,http://id.loc.gov/authorities/subjects/sh85042367,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Electronium,http://id.loc.gov/authorities/subjects/sh85042420,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Encephalophone,http://id.loc.gov/authorities/subjects/sh2020000653,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Heliphon,http://id.loc.gov/authorities/subjects/sh2007005700,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
Mellotron,http://id.loc.gov/authorities/subjects/sh2002010485,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
MIDI controllers,http://id.loc.gov/authorities/subjects/sh93006387,Electronic musical instruments,http://id.loc.gov/authorities/subjects/sh85089002,
