Leisiö-id	class	taso1	taso2	taso3	H-S	soitin	finna: äänite/esine	seko	notes	seko:hierarkia	skos:definition	soitin	mh-definition	Luokka	alaluokka	ryhmä	tyyppi
-	1.	Huilut				?		#N/A				Inkeriläinen paimenhuilu	Inkeriläinen paimenhuilu (paimensoittu, soittu) on tuohipäällysteinen soitin, joka muistuttaa rakenteeltaan nokkahuilua. Huilu valmistetaan halkaisemalla puolimetrinen puunoksa ja kovertamalla puoliskot. Huilun yläpuolelle tehdään viisi sormiaukkoa ja alapuolelle peukaloaukko. Huilun kieli vuollaan ohueksi, höyrytetään notkeaksi  ja painetaan pienen lastan avulla viistosti huilun sisälle.	Huilut			
-	1.	Huilut				luuhuilu		#N/A									
-	2.A.	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar		pilli		http://urn.fi/urn:nbn:fi:au:seko:00776	pilli	huilusoitin > tulppakanavahuilu > pilli	Nimitystä käytetään monentyyppisistä puhallinsoittimista. Tässä sanastossa sillä tarkoitetaan "paimensoitinta".	Putkipilli	Putkipilli/jatkossoropilli on rakenteeltaan klarinettisoitin, joka valmistetaan kahdesta sisäkkäin työnnetystä putkikasvin varresta. Pillin pituus, yleensä noin  10-50 cm, määräytyy putkien pituuden mukaan. Ohuemman putken päähän on viilletty lehdykkä, joka värähtelee puhallettaessa.	Varsinaiset aerofonit	Glottofonit eli lehdykkävärähtelijät	Klarinetit	Idioglottiset eli kiinteällä lehdykällä varustetut klar
-	2.B.	Glottofonit eli lehdykkävärähtelijät	Oboet		422.1	oboesoitin		#N/A		puhallinsoitin > puupuhallin > lehdykkäpuhallinsoitin > oboesoitin	Kaksilehdykkäinen puhallinsoitin.	Musta torvisieni	Musta torvisieni on, paitsi erinomainen ruokasieni, myös hauska oboesoitin. Sitä soitetaan sienen varteen puhaltamalla niin, että varsi on kokonaan suussa. Vastaavanlaisia soittimia ovat voikukan varresta saatava varsipilli ja pillikkeestä irrotettava kukka, siis kukkapilli.	Varsinaiset aerofonit			
-	3.	Trumpetit				?		#N/A				Inkeriläinen hevostorvi	Inkeriläinen hevostorvi on halkaisutekniikalla rakennettu ja tuohella päällystetty puutrumpetti. Noin metrin mittaisen soittimen alapäässä on sonninsarvi kaikusuppilona. (kulkeutunut maahamme kansanmuusikko Teppo Revon mukana.)	Trumpetit			
-	3.B.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit		?		#N/A				Lehmätorvi	Lehmätorvi on n. 30-40 cm pitkä, tuohella päällystetty, puutrumpetti. Sen muoto on hieman kaareva, ja lievästi soikion muotoisen alapään läpimitta on 5-7 cm.	Trumpetit	Puutrumpetit	Sormiaukottomat puutrumpetit	
-																	
?	3.A.2.	Trumpetit	Kuoritrumpetit	Sormiaukottomat tuohitrumpetit		truba	43/3	http://urn.fi/urn:nbn:fi:au:seko:01116	(berestjanka)	puhallinsoitin > tuohitorvi > truba	Valko-Venäjällä ja Inkerissä käytettävä sormiaukollinen tuohitorvi.						
?	3.C.	Trumpetit	Sarvitrumpetit			sarvitrumpetti	17/78	#N/A									
L001	A.1.1.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut, Avonaiset yläsärmäiset, Särmä on leikattu putkikasviin tai kuriputkeen		lötkö	melinda:2	http://urn.fi/urn:nbn:fi:au:seko:00632	lötkö (pilli)	huilusoitin > tulppakanavahuilu > pilli > lötkö (pilli)	Suomalainen, kansanomainen, pajunkuoresta tehty pilli.	Lötkö	Lötkö (mm. pajuhuilu, paju- ja leppäpilli) on kuoriputkesta tai putkikasvista valmistettu, 10-30 cm pitkä, alapäästään avoin huilu. Paksuudeltaan 2-3 cm:n huilun materiaaliksi sopii kuoriputken lisäksi mm. koiranputken varsi.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut	Avonaiset: yläsärmäiset
